"onset","onset_low","onset_high","rowname","year","id_cells","offset","offset_low","offset_high","duration","scientificName","Order"
170.95,166,175,2017.1036,2017,1036,265.2,245.9,274,94.25,"Anax junius","Odonata"
156.75,146,164.5,2019.1036,2019,1036,272.5,251.5,301,115.75,"Anax junius","Odonata"
146.75,131,154.25,2019.1089,2019,1089,238.25,234,245,91.5,"Anax junius","Odonata"
99.8,77,115,2017.425,2017,425,271.15,264.15,274,171.35,"Argia vivida","Odonata"
99.8,93,109,2018.425,2018,425,273.6,267.4,277,173.8,"Argia vivida","Odonata"
101.4,37,109,2019.425,2019,425,255.8,234,286,154.4,"Argia vivida","Odonata"
63.4,45,74.6,2017.463,2017,463,220.6,172.4,231,157.2,"Argia vivida","Odonata"
93,87,97,2018.463,2018,463,234.4,201.4,235,141.4,"Argia vivida","Odonata"
81.9,42,99,2019.463,2019,463,298.3,247.2,299,216.4,"Argia vivida","Odonata"
62,55,70.5,2018.464,2018,464,219.5,171,224,157.5,"Argia vivida","Odonata"
99.35,98,102.35,2015.502,2015,502,247.65,193.85,285,148.3,"Argia vivida","Odonata"
106.4,87,117.6,2016.502,2016,502,237.7,223.5,249,131.3,"Argia vivida","Odonata"
82,70,91.5,2017.502,2017,502,281.5,228.5,302,199.5,"Argia vivida","Odonata"
114.6,94,118,2018.502,2018,502,269.4,226,272,154.8,"Argia vivida","Odonata"
103.65,39,116.65,2019.502,2019,502,294.05,269.15,312,190.4,"Argia vivida","Odonata"
90.2,59,106.2,2015.503,2015,503,270.5,261.6,312,180.3,"Argia vivida","Odonata"
107.5,101,140.65,2016.503,2016,503,261.75,247,278,154.25,"Argia vivida","Odonata"
91.7,83,105.1,2017.503,2017,503,281.75,260.5,328,190.05,"Argia vivida","Odonata"
98.7,36,113.9,2018.503,2018,503,293.8,262,336,195.1,"Argia vivida","Odonata"
92.3,45,98.25,2019.503,2019,503,301.8,267.7,308,209.5,"Argia vivida","Odonata"
87,78,111,2017.626,2017,626,261,237.4,282,174,"Argia vivida","Odonata"
87,78,98,2018.626,2018,626,209.15,169.3,215,122.15,"Argia vivida","Odonata"
98,85,111.2,2016.666,2016,666,270.6,246,275,172.6,"Argia vivida","Odonata"
99,87,104.8,2017.666,2017,666,266,241,301,167,"Argia vivida","Odonata"
101.2,92,109,2018.666,2018,666,235.4,210,249,134.2,"Argia vivida","Odonata"
96.75,89,117,2019.666,2019,666,278.7,255,339,181.95,"Argia vivida","Odonata"
107.6,104,122.45,2015.667,2015,667,252.2,213.55,254,144.6,"Argia vivida","Odonata"
82.6,76,97.35,2017.667,2017,667,249,206,271,166.4,"Argia vivida","Odonata"
95,42,105,2018.667,2018,667,261,195.75,295,166,"Argia vivida","Odonata"
103.9,97,110.45,2019.667,2019,667,237.55,223.55,286,133.65,"Argia vivida","Odonata"
72,59,88.2,2016.707,2016,707,240.4,183.6,268,168.4,"Argia vivida","Odonata"
85.2,69,99,2017.707,2017,707,242.4,211,260,157.2,"Argia vivida","Odonata"
93.4,78,98.7,2018.707,2018,707,259.45,219,265,166.05,"Argia vivida","Odonata"
97.45,89.6,106,2019.707,2019,707,254.55,249.2,267.35,157.1,"Argia vivida","Odonata"
96.5,88,105,2017.708,2017,708,293.5,178,328,197,"Argia vivida","Odonata"
100.2,84,102,2018.708,2018,708,212.2,147.8,214,112,"Argia vivida","Odonata"
109.2,96,118,2019.708,2019,708,231.2,177,245,122,"Argia vivida","Odonata"
121.6,118,126,2017.747,2017,747,241.65,191.3,279,120.05,"Argia vivida","Odonata"
117.6,116,118.8,2019.747,2019,747,236.6,216.6,255,119,"Argia vivida","Odonata"
118.4,116,143.8,2019.749,2019,749,223.4,192.4,245,105,"Argia vivida","Odonata"
173.65,173,174.65,2019.958,2019,958,227.7,205,229,54.05,"Argia vivida","Odonata"
158,152,168.276415610477,2019.1089,2019,1089,269.5,239.5,274,111.5,"Argia vivida","Odonata"
170.4,150,174,2019.697,2019,697,279.95,228.8,291,109.55,"Bombus fervidus","Hymenoptera"
106.8,103,116.5,2015.744,2015,744,227.85,207.9,263,121.05,"Bombus fervidus","Hymenoptera"
